user_id,sn
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113025
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113520
2c3f49c5-e2da-439f-a1bb-e21963a79c83,98149
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112595
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113908
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113869
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113354
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113613
2c3f49c5-e2da-439f-a1bb-e21963a79c83,67670
2c3f49c5-e2da-439f-a1bb-e21963a79c83,94113
2c3f49c5-e2da-439f-a1bb-e21963a79c83,98176
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113505
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113384
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113392
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113534
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113241
2c3f49c5-e2da-439f-a1bb-e21963a79c83,61678
2c3f49c5-e2da-439f-a1bb-e21963a79c83,93743
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113129
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113195
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113905
2c3f49c5-e2da-439f-a1bb-e21963a79c83,65250
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113782
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113594
2c3f49c5-e2da-439f-a1bb-e21963a79c83,63310
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113459
2c3f49c5-e2da-439f-a1bb-e21963a79c83,64107
2c3f49c5-e2da-439f-a1bb-e21963a79c83,82778
2c3f49c5-e2da-439f-a1bb-e21963a79c83,71034
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113743
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113260
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113574
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113465
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113275
2c3f49c5-e2da-439f-a1bb-e21963a79c83,79369
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113710
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113701
2c3f49c5-e2da-439f-a1bb-e21963a79c83,97790
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112505
2c3f49c5-e2da-439f-a1bb-e21963a79c83,79364
2c3f49c5-e2da-439f-a1bb-e21963a79c83,107158
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113844
2c3f49c5-e2da-439f-a1bb-e21963a79c83,95242
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112499
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113460
2c3f49c5-e2da-439f-a1bb-e21963a79c83,78883
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113500
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113159
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113816
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113694
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113336
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113788
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113507
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113531
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112548
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112754
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113762
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113537
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113758
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113894
2c3f49c5-e2da-439f-a1bb-e21963a79c83,90639
2c3f49c5-e2da-439f-a1bb-e21963a79c83,96524
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112429
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112486
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113020
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112616
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113723
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113924
2c3f49c5-e2da-439f-a1bb-e21963a79c83,80412
2c3f49c5-e2da-439f-a1bb-e21963a79c83,102289
2c3f49c5-e2da-439f-a1bb-e21963a79c83,72735
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112760
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113163
2c3f49c5-e2da-439f-a1bb-e21963a79c83,84023
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112865
2c3f49c5-e2da-439f-a1bb-e21963a79c83,60209
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112666
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112753
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113700
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113161
2c3f49c5-e2da-439f-a1bb-e21963a79c83,87683
2c3f49c5-e2da-439f-a1bb-e21963a79c83,102027
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113958
